Transaction Date,Post Date,Description,Category,Type,Amount
10/22/2021,10/24/2021,CHEWY.COM,Shopping,Return,6.36
10/23/2021,10/24/2021,LOccitane,Shopping,Sale,-22.88
10/20/2021,10/22/2021,STARBUCKS STORE 18666,Food & Drink,Sale,-10.17
10/20/2021,10/21/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-6.62
10/20/2021,10/21/2021,SQ *TOTTO RAMEN SOMERVILL,Food & Drink,Sale,-78.28
10/20/2021,10/21/2021,PETSMART # 1962,Shopping,Sale,-48.84
10/18/2021,10/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
10/17/2021,10/19/2021,APPLEBEES SAUG31231574,Food & Drink,Sale,-35
10/18/2021,10/19/2021,9640 AMC ONLINE,Entertainment,Sale,-23.95
10/17/2021,10/18/2021,Payment Thank You-Mobile,,Payment,5887.75
10/15/2021,10/17/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
10/16/2021,10/17/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-6.3
10/15/2021,10/17/2021,HARVARD BKSTR 90200015,Shopping,Sale,-18.16
10/15/2021,10/17/2021,KOHLS #0729,Shopping,Sale,-92.15
10/15/2021,10/17/2021,SQ *HOKKAIDO RAMEN SANTOU,Food & Drink,Sale,-55.88
10/14/2021,10/15/2021,SQ *POKE BY LOVE ART NORT,Food & Drink,Sale,-35.84
10/13/2021,10/14/2021,DELTA AUTO INC,Gas,Sale,-32.14
10/13/2021,10/14/2021,HC AUDI BURLINGTON,Automotive,Sale,-4589.3
10/14/2021,10/14/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
10/13/2021,10/14/2021,TJMAXX #713,Shopping,Sale,-8.48
10/13/2021,10/14/2021,0504 AMC ASSEMBLY ROW 12,Entertainment,Sale,-17.42
10/12/2021,10/12/2021,CHEWY.COM,Shopping,Sale,-65.77
10/11/2021,10/12/2021,WAL-MART #3114,Groceries,Sale,-58.41
10/11/2021,10/11/2021,TST* SWISSBAKERS - ALLSTO,Food & Drink,Sale,-14
10/10/2021,10/11/2021,99 RANCH MARKET #16,Groceries,Sale,-137.53
10/8/2021,10/10/2021,BLAZE PIZZA #1154,Food & Drink,Sale,-37.68
10/8/2021,10/10/2021,COSTCO WHSE #0333,Shopping,Sale,-131.06
10/7/2021,10/8/2021,AIRBNB  HMYMJPXEXW,Travel,Sale,-94.69
10/6/2021,10/8/2021,TSAOCAA TEA,Food & Drink,Sale,-10.7
10/7/2021,10/8/2021,TST* SUMIAO XIANG RESTAUR,Food & Drink,Sale,-103.81
10/1/2021,10/3/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
10/2/2021,10/3/2021,TST* JP LICKS - ASSEMBLY,Food & Drink,Sale,-15.83
10/3/2021,10/3/2021,AMZN Mktp US*2C2ZJ9502,Shopping,Sale,-14.44
10/2/2021,10/3/2021,SQ *JANET NIGRO,Personal,Sale,-22
10/1/2021,10/3/2021,TRADER JOE'S #560 QPS,Groceries,Sale,-4.98
9/30/2021,10/1/2021,TST* KANE S DONUTS - ROUT,Food & Drink,Sale,-3.47
9/30/2021,9/30/2021,Payment Thank You-Mobile,,Payment,2000
9/28/2021,9/30/2021,TSAOCAA TEA,Food & Drink,Sale,-6.15
9/30/2021,9/30/2021,F45 TRAINING SAUGUS,Health & Wellness,Sale,-88
